user_id,month_year,housing_utilities,groceries,restaurants_cafes,transportation_fuel,public_transport,healthcare_pharmacy,education_tuition,childcare,clothing_personal_care,entertainment_hobbies,subscriptions,other_shopping,gifts_charity,miscellaneous,total_expenses,total_essential_spending,total_discretionary_spending,essential_spending_ratio,discretionary_spending_ratio,savings_this_month,spending_vs_last_month_percentage,highest_spending_category,meets_50_30_20_rule
1e925480-2cdc-4163-8902-441061f38483,2025-07,3333.26,617.93,530.22,92.32,186.37,763.19,300,800,625.12,336.66,240.48,178.17,285.23,123.65,15763.89,13444.36,2319.53,0.8529,0.1471,-6105.89,-0.68,clothing_personal_care,False
1e925480-2cdc-4163-8902-441061f38483,2025-08,3441.19,610.97,484.77,95.33,190.77,762.52,300,800,391.61,456.59,166.87,181.35,145.63,95.66,15474.55,13552.07,1922.48,0.8758,0.1242,-5816.55,-1.84,groceries,False
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2024-10,2151.02,221.15,277.79,341.93,31.43,71.74,0,0,246.54,77.26,78.99,93.88,58.1,38.49,4929.66,4058.61,871.05,0.8233,0.1767,-448.66,0.0,restaurants_cafes,False
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2024-10,2189.3,197.82,289.74,400.96,34.9,71.49,0,0,201.42,189.81,95.42,54.68,109.21,38.41,5114.5,4135.81,978.69,0.8086,0.1914,-633.5,3.75,restaurants_cafes,False
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2024-11,2169.26,211.92,184.82,347.14,33.0,78.29,0,0,315.32,98.65,94.12,112.51,141.27,68.93,5096.57,4080.95,1015.62,0.8007,0.1993,-615.57,-0.35,clothing_personal_care,False
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2024-12,2110.46,175.15,498.05,354.65,33.57,74.4,0,0,165.81,255.86,123.17,107.87,165.96,31.69,5337.98,3989.57,1348.41,0.7474,0.2526,-856.98,4.74,restaurants_cafes,False
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-01,2142.37,221.17,130.93,393.76,36.58,76.37,0,0,126.0,129.54,64.29,47.5,62.89,39.92,4712.66,4111.59,601.07,0.8725,0.1275,-231.66,-11.71,groceries,False
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-02,2137.51,189.56,258.17,353.17,34.07,74.65,0,0,198.78,135.81,136.8,138.55,131.04,28.75,5058.2,4030.3,1027.9,0.7968,0.2032,-577.2,7.33,restaurants_cafes,False
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-03,2091.06,246.25,160.0,341.98,32.06,74.03,0,0,188.56,167.5,75.31,81.17,68.64,25.46,4793.36,4026.72,766.64,0.8401,0.1599,-312.36,-5.24,groceries,False
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-04,2105.77,191.08,394.41,365.51,33.85,73.37,0,0,173.26,152.79,98.61,107.55,88.09,47.84,5073.47,4010.92,1062.55,0.7906,0.2094,-592.47,5.84,restaurants_cafes,False
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-05,2135.24,180.4,373.33,340.2,31.98,77.11,0,0,127.93,206.65,103.23,146.46,87.04,27.5,5078.41,4006.27,1072.14,0.7889,0.2111,-597.41,0.1,restaurants_cafes,False
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-06,2164.73,158.22,240.45,373.42,28.68,69.53,0,0,159.0,257.36,74.61,69.67,131.78,36.81,5005.6,4035.92,969.68,0.8063,0.1937,-524.6,-1.43,entertainment_hobbies,False
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-07,2222.39,221.02,257.7,346.07,31.91,77.23,0,0,153.18,112.44,58.38,57.11,61.65,39.97,4880.39,4139.96,740.43,0.8483,0.1517,-399.39,-2.5,restaurants_cafes,False
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-08,2255.28,186.03,192.91,357.64,31.17,71.81,0,0,172.37,224.57,105.58,126.38,80.07,64.46,5109.61,4143.27,966.34,0.8109,0.1891,-628.61,4.7,entertainment_hobbies,False
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2024-10,1625.96,352.06,131.6,82.91,159.82,359.03,0,0,145.07,151.81,75.87,48.41,56.65,44.14,12767.12,12113.57,653.55,0.9488,0.0512,-5104.12,0.0,groceries,False
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2024-10,1644.34,383.82,254.04,102.29,168.83,374.57,0,0,211.36,186.68,96.01,93.6,59.09,35.07,13143.49,12207.64,935.85,0.9288,0.0712,-5480.49,2.95,groceries,False
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2024-11,1714.02,405.31,376.33,102.27,159.19,356.36,0,0,129.0,182.72,82.13,92.55,141.49,36.86,13312.02,12270.94,1041.08,0.9218,0.0782,-5649.02,1.28,groceries,False
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2024-12,1645.61,396.77,169.23,79.4,168.19,366.88,0,0,174.27,228.05,89.8,44.53,157.56,51.88,13105.96,12190.64,915.32,0.9302,0.0698,-5442.96,-1.55,groceries,False
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-01,1629.42,404.32,338.18,97.89,147.32,390.59,0,0,200.47,121.57,89.37,85.12,97.13,36.67,13171.84,12203.33,968.51,0.9265,0.0735,-5508.84,0.5,groceries,False
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-02,1635.62,419.42,243.86,102.47,173.42,341.62,0,0,214.43,202.22,82.89,142.37,94.01,68.89,13255.01,12206.34,1048.67,0.9209,0.0791,-5592.01,0.63,groceries,False
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-03,1567.71,415.73,413.57,108.0,151.22,371.77,0,0,114.61,114.66,86.05,73.1,92.85,59.04,13102.1,12148.22,953.88,0.9272,0.0728,-5439.1,-1.15,groceries,False
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-04,1612.03,367.02,362.34,89.86,165.46,402.52,0,0,224.59,88.14,128.28,115.95,97.33,72.14,13259.45,12170.68,1088.77,0.9179,0.0821,-5596.45,1.2,groceries,False
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-05,1648.95,345.14,295.77,97.52,168.78,378.53,0,0,187.6,112.99,77.52,102.68,78.02,57.67,13084.96,12172.71,912.25,0.9303,0.0697,-5421.96,-1.32,groceries,False
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-06,1597.62,346.95,540.5,97.44,161.1,390.2,0,0,205.53,207.01,149.09,202.16,103.42,50.98,13585.79,12127.1,1458.69,0.8926,0.1074,-5922.79,3.83,restaurants_cafes,False
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-07,1619.05,427.72,130.17,99.82,168.76,385.19,0,0,158.35,135.12,68.52,71.85,44.52,11.44,12854.3,12234.33,619.97,0.9518,0.0482,-5191.3,-5.38,groceries,False
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-08,1639.83,400.67,157.42,97.3,155.67,371.55,0,0,63.33,110.55,49.55,34.46,62.68,34.31,12711.11,12198.81,512.3,0.9597,0.0403,-5048.11,-1.11,groceries,False
0fd47901-d782-4546-98d9-0066369672d1,2024-10,759.02,180.84,689.7,300.78,15.45,195.96,0,0,375.98,310.66,118.94,201.81,125.74,89.41,5890.75,3978.51,1912.24,0.6754,0.3246,-2760.75,0.0,restaurants_cafes,False
0fd47901-d782-4546-98d9-0066369672d1,2024-10,756.29,221.47,538.73,246.82,14.27,188.03,0,0,413.44,228.68,163.39,160.08,71.36,68.85,5597.87,3953.34,1644.53,0.7062,0.2938,-2467.87,-4.97,restaurants_cafes,False
0fd47901-d782-4546-98d9-0066369672d1,2024-11,771.79,216.44,337.54,298.61,14.68,184.11,0,0,247.34,335.2,109.98,122.41,122.56,75.39,5362.51,4012.09,1350.42,0.7482,0.2518,-2232.51,-4.2,restaurants_cafes,False
0fd47901-d782-4546-98d9-0066369672d1,2024-12,778.11,253.14,835.68,300.35,15.07,185.74,0,0,337.44,240.84,167.88,213.98,147.38,24.59,6026.66,4058.87,1967.79,0.6735,0.3265,-2896.66,12.39,restaurants_cafes,False
0fd47901-d782-4546-98d9-0066369672d1,2025-01,758.38,201.43,484.13,276.24,14.71,181.73,0,0,564.6,330.82,172.2,137.48,272.47,91.5,6012.15,3958.95,2053.2,0.6585,0.3415,-2882.15,-0.24,clothing_personal_care,False
0fd47901-d782-4546-98d9-0066369672d1,2025-02,774.86,208.82,210.52,235.14,13.1,186.31,0,0,174.75,164.71,71.44,101.03,91.98,61.6,4820.72,3944.69,876.03,0.8183,0.1817,-1690.72,-19.82,restaurants_cafes,False
0fd47901-d782-4546-98d9-0066369672d1,2025-03,767.0,204.65,117.69,315.03,14.29,174.34,0,0,297.27,130.23,85.17,109.73,4.18,42.33,4788.37,4001.77,786.6,0.8357,0.1643,-1658.37,-0.67,clothing_personal_care,False
0fd47901-d782-4546-98d9-0066369672d1,2025-04,750.11,198.34,279.65,284.68,14.68,190.7,0,0,161.83,227.3,123.74,104.85,85.36,76.79,5024.49,3964.97,1059.52,0.7891,0.2109,-1894.49,4.93,restaurants_cafes,False
0fd47901-d782-4546-98d9-0066369672d1,2025-05,737.86,200.51,495.73,315.54,13.21,194.79,0,0,332.74,339.63,157.4,96.2,228.01,51.59,5689.67,3988.37,1701.3,0.701,0.299,-2559.67,13.24,restaurants_cafes,False
0fd47901-d782-4546-98d9-0066369672d1,2025-06,779.16,172.59,452.72,285.95,14.04,183.36,0,0,269.93,116.68,123.0,109.25,167.6,79.86,5280.6,3961.56,1319.04,0.7502,0.2498,-2150.6,-7.19,restaurants_cafes,False
0fd47901-d782-4546-98d9-0066369672d1,2025-07,768.41,236.96,778.17,311.82,14.34,192.57,0,0,296.28,324.86,172.59,227.22,194.49,45.0,6089.17,4050.56,2038.61,0.6652,0.3348,-2959.17,15.31,restaurants_cafes,False
0fd47901-d782-4546-98d9-0066369672d1,2025-08,756.84,191.71,357.15,252.27,14.58,204.44,0,0,329.16,318.59,145.28,153.75,182.29,87.55,5520.07,3946.3,1573.77,0.7149,0.2851,-2390.07,-9.35,restaurants_cafes,False
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2024-10,2380.35,411.53,167.37,113.21,215.71,150.91,0,0,131.18,149.18,90.05,2.6,71.76,55.18,4289.24,3621.92,667.32,0.8444,0.1556,1326.76,0.0,groceries,False
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2024-10,2371.71,412.06,264.34,125.43,195.53,137.61,0,0,268.99,202.72,90.93,90.86,108.26,48.03,4666.68,3592.55,1074.13,0.7698,0.2302,949.32,8.8,groceries,False
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2024-11,2452.27,445.86,110.67,110.12,200.76,160.15,0,0,172.59,69.36,99.59,106.75,84.92,74.35,4437.6,3719.37,718.23,0.8381,0.1619,1178.4,-4.91,groceries,False
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2024-12,2426.16,401.31,336.53,142.49,200.87,151.47,0,0,298.1,319.71,132.52,135.23,147.28,82.58,5124.46,3672.51,1451.95,0.7167,0.2833,491.54,15.48,groceries,False
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2025-01,2377.58,453.61,397.01,122.11,194.58,145.93,0,0,212.55,94.59,175.54,179.4,213.26,103.55,5019.92,3644.02,1375.9,0.7259,0.2741,596.08,-2.04,groceries,False
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2025-02,2400.11,382.15,437.31,140.66,198.95,145.27,0,0,200.65,347.55,120.66,157.85,139.59,44.39,5065.35,3617.35,1448.0,0.7141,0.2859,550.65,0.9,restaurants_cafes,False
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2025-03,2438.55,332.39,488.33,127.42,199.24,148.05,0,0,268.76,200.49,121.08,97.99,67.9,55.23,4895.64,3595.86,1299.78,0.7345,0.2655,720.36,-3.35,restaurants_cafes,False
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2025-04,2433.76,421.6,478.86,120.36,209.15,154.63,0,0,241.92,199.44,108.97,84.84,107.02,49.61,4960.37,3689.71,1270.66,0.7438,0.2562,655.63,1.32,restaurants_cafes,False
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2025-05,2411.84,453.07,389.33,92.01,202.49,139.84,0,0,110.7,108.67,121.23,97.29,43.69,84.75,4605.12,3649.46,955.66,0.7925,0.2075,1010.88,-7.16,groceries,False
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2025-06,2363.03,443.01,339.32,132.09,197.33,148.57,0,0,224.77,281.66,96.61,88.63,107.85,48.4,4821.48,3634.24,1187.24,0.7538,0.2462,794.52,4.7,groceries,False
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2025-07,2422.4,349.65,169.42,130.86,212.66,169.56,0,0,162.51,106.22,83.4,83.84,55.39,60.94,4357.06,3635.34,721.72,0.8344,0.1656,1258.94,-9.63,groceries,False
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2025-08,2334.39,363.18,239.49,114.69,189.82,155.36,0,0,274.49,272.9,118.64,101.38,141.07,74.62,4730.24,3507.65,1222.59,0.7415,0.2585,885.76,8.56,groceries,False
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,2024-10,1928.56,679.61,296.14,328.02,43.04,238.22,150,400,287.96,180.72,156.51,174.34,171.21,105.16,10840.81,9468.77,1372.04,0.8734,0.1266,-3743.81,0.0,groceries,False
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,2024-10,2015.49,460.11,216.08,345.08,39.5,232.3,150,400,337.76,151.9,138.3,133.0,180.07,50.37,10551.28,9343.8,1207.48,0.8856,0.1144,-3454.28,-2.67,groceries,False
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,2024-11,2013.93,510.89,214.9,307.74,40.96,219.55,150,400,279.23,140.43,127.01,100.94,94.24,50.1,10351.24,9344.39,1006.85,0.9027,0.0973,-3254.24,-1.9,groceries,False
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,2024-12,1961.64,480.14,582.95,346.0,38.4,238.46,150,400,520.46,310.9,140.06,181.15,124.82,109.93,11286.23,9315.96,1970.27,0.8254,0.1746,-4189.23,9.03,restaurants_cafes,False
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,2025-01,1930.6,536.95,289.38,265.29,41.79,237.34,150,400,188.27,258.52,97.92,147.4,160.76,73.91,10479.45,9263.29,1216.16,0.8839,0.1161,-3382.45,-7.15,groceries,False
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,2025-02,1942.3,560.66,415.81,290.45,40.75,230.23,150,400,148.88,232.71,133.77,149.78,82.39,49.27,10528.32,9315.71,1212.61,0.8848,0.1152,-3431.32,0.47,groceries,False
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,2025-03,2004.63,515.6,439.79,328.88,41.5,223.9,150,400,214.73,470.15,174.55,112.52,112.93,55.85,10946.35,9365.83,1580.52,0.8556,0.1444,-3849.35,3.97,groceries,False
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,2025-04,1963.91,528.84,549.24,262.16,38.0,224.95,150,400,230.81,302.77,132.94,162.06,94.69,65.4,10807.09,9269.18,1537.91,0.8577,0.1423,-3710.09,-1.27,restaurants_cafes,False
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,2025-05,2016.12,574.98,581.97,269.42,38.68,211.55,150,400,269.06,362.66,127.0,146.98,147.22,40.13,11037.09,9362.07,1675.02,0.8482,0.1518,-3940.09,2.13,restaurants_cafes,False
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,2025-06,2024.01,504.61,564.48,306.33,39.38,219.84,150,400,297.55,251.91,163.51,97.41,85.05,92.57,10897.97,9345.49,1552.48,0.8575,0.1425,-3800.97,-1.26,restaurants_cafes,False
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,2025-07,1959.38,416.52,583.51,295.38,39.73,222.29,150,400,550.7,371.9,195.5,186.31,109.59,85.81,11267.94,9184.62,2083.32,0.8151,0.1849,-4170.94,3.39,restaurants_cafes,False
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,2025-08,1982.59,484.34,174.54,291.34,38.89,221.68,150,400,181.95,167.99,107.15,164.41,77.98,73.98,10218.16,9270.16,948.0,0.9072,0.0928,-3121.16,-9.32,groceries,False
072108ed-da49-4391-bf02-5ce580d47d9f,2024-10,5440.73,604.39,212.52,435.14,16.83,331.16,300,800,132.95,74.06,55.62,37.09,16.74,25.46,24959.06,24404.62,554.44,0.9778,0.0222,-10061.06,0.0,groceries,False
072108ed-da49-4391-bf02-5ce580d47d9f,2024-10,5349.32,560.09,60.88,350.0,16.48,294.98,300,800,55.43,12.06,22.46,43.18,10.19,12.77,24364.21,24147.24,216.97,0.9911,0.0089,-9466.21,-2.38,groceries,False
072108ed-da49-4391-bf02-5ce580d47d9f,2024-11,5393.47,749.74,81.11,368.4,17.65,274.93,300,800,40.36,62.91,25.26,17.85,37.79,11.08,24656.92,24380.56,276.36,0.9888,0.0112,-9758.92,1.2,groceries,False
072108ed-da49-4391-bf02-5ce580d47d9f,2024-12,5188.45,553.31,120.68,422.39,17.93,278.7,300,800,102.5,76.91,34.29,40.78,34.8,24.45,24471.56,24037.15,434.41,0.9822,0.0178,-9573.56,-0.75,groceries,False
072108ed-da49-4391-bf02-5ce580d47d9f,2025-01,5293.54,565.73,122.98,367.29,15.99,330.91,300,800,39.78,72.75,29.83,16.62,40.09,14.01,24485.89,24149.83,336.06,0.9863,0.0137,-9587.89,0.06,groceries,False
072108ed-da49-4391-bf02-5ce580d47d9f,2025-02,5364.03,575.16,64.82,417.89,17.99,273.63,300,800,77.76,67.52,34.56,34.03,31.31,18.24,24553.31,24225.07,328.24,0.9866,0.0134,-9655.31,0.28,groceries,False
072108ed-da49-4391-bf02-5ce580d47d9f,2025-03,5562.88,634.69,114.07,451.57,16.92,280.38,300,800,25.17,72.94,33.03,54.29,38.82,8.13,24869.26,24522.81,346.45,0.9861,0.0139,-9971.26,1.29,groceries,False
072108ed-da49-4391-bf02-5ce580d47d9f,2025-04,5550.05,582.69,128.24,395.24,18.05,293.94,300,800,67.93,105.8,49.62,41.78,41.03,25.38,24876.12,24416.34,459.78,0.9815,0.0185,-9978.12,0.03,groceries,False
072108ed-da49-4391-bf02-5ce580d47d9f,2025-05,5162.31,624.06,84.5,400.13,16.76,315.79,300,800,46.14,72.88,31.62,29.05,39.01,13.34,24411.96,24095.42,316.54,0.987,0.013,-9513.96,-1.87,groceries,False
072108ed-da49-4391-bf02-5ce580d47d9f,2025-06,5461.55,570.83,107.76,416.15,17.39,307.53,300,800,100.65,87.0,33.07,38.28,30.25,15.24,24762.07,24349.82,412.25,0.9834,0.0166,-9864.07,1.43,groceries,False
072108ed-da49-4391-bf02-5ce580d47d9f,2025-07,5368.9,605.76,158.86,430.31,18.54,278.52,300,800,108.78,70.33,41.71,69.85,33.26,22.17,24783.36,24278.4,504.96,0.9796,0.0204,-9885.36,0.09,groceries,False
072108ed-da49-4391-bf02-5ce580d47d9f,2025-08,5298.29,601.95,105.82,369.22,17.33,296.84,300,800,81.29,95.66,38.54,38.44,27.97,3.95,24551.67,24160.0,391.67,0.984,0.016,-9653.67,-0.93,groceries,False
2f6d4516-a531-4068-8105-27d94d5803a3,2024-10,1181.52,205.74,665.67,96.36,118.14,77.25,0,0,703.43,433.09,220.12,192.3,219.78,90.16,4426.76,1902.21,2524.55,0.4297,0.5703,-106.76,0.0,clothing_personal_care,False
2f6d4516-a531-4068-8105-27d94d5803a3,2024-10,1205.87,154.11,335.77,110.49,120.54,74.47,0,0,347.69,391.11,207.73,193.55,114.72,82.87,3562.12,1888.68,1673.44,0.5302,0.4698,757.88,-19.53,entertainment_hobbies,False
2f6d4516-a531-4068-8105-27d94d5803a3,2024-11,1218.49,204.97,283.02,71.99,122.48,75.71,0,0,288.44,262.52,167.34,166.31,73.62,83.92,3242.01,1916.84,1325.17,0.5913,0.4087,1077.99,-8.99,clothing_personal_care,False
2f6d4516-a531-4068-8105-27d94d5803a3,2024-12,1223.39,182.07,480.44,76.55,123.21,71.08,0,0,594.12,263.5,231.3,263.63,179.42,163.08,4074.99,1899.5,2175.49,0.4661,0.5339,245.01,25.69,clothing_personal_care,False
2f6d4516-a531-4068-8105-27d94d5803a3,2025-01,1177.49,207.16,616.61,87.56,129.11,77.66,0,0,417.19,550.76,215.3,180.3,182.1,129.01,4193.45,1902.18,2291.27,0.4536,0.5464,126.55,2.91,restaurants_cafes,False
2f6d4516-a531-4068-8105-27d94d5803a3,2025-02,1187.47,216.91,954.8,72.41,117.49,70.73,0,0,399.22,527.27,179.68,191.14,264.71,41.38,4446.41,1888.21,2558.2,0.4247,0.5753,-126.41,6.03,restaurants_cafes,False
2f6d4516-a531-4068-8105-27d94d5803a3,2025-03,1181.65,164.11,696.83,92.88,125.68,76.04,0,0,573.46,420.48,204.39,213.15,83.22,108.67,4163.76,1863.56,2300.2,0.4476,0.5524,156.24,-6.36,restaurants_cafes,False
2f6d4516-a531-4068-8105-27d94d5803a3,2025-04,1179.33,214.17,317.66,85.46,125.72,75.58,0,0,293.36,291.12,169.95,126.97,66.96,110.43,3279.91,1903.46,1376.45,0.5803,0.4197,1040.09,-21.23,restaurants_cafes,False
2f6d4516-a531-4068-8105-27d94d5803a3,2025-05,1224.16,199.84,646.56,70.47,132.89,75.19,0,0,304.99,363.36,189.22,108.84,15.47,131.44,3685.63,1925.75,1759.88,0.5225,0.4775,634.37,12.37,restaurants_cafes,False
2f6d4516-a531-4068-8105-27d94d5803a3,2025-06,1251.3,208.87,559.9,86.28,126.86,70.23,0,0,387.17,285.73,160.86,160.11,128.25,37.79,3686.55,1966.74,1719.81,0.5335,0.4665,633.45,0.02,restaurants_cafes,False
2f6d4516-a531-4068-8105-27d94d5803a3,2025-07,1222.45,172.11,577.67,95.02,133.6,77.83,0,0,246.7,166.8,181.42,222.42,218.49,93.24,3630.95,1924.21,1706.74,0.5299,0.4701,689.05,-1.51,restaurants_cafes,False
2f6d4516-a531-4068-8105-27d94d5803a3,2025-08,1216.58,200.59,648.62,81.79,108.29,79.05,0,0,496.51,399.71,181.08,122.22,219.04,75.74,4052.42,1909.5,2142.92,0.4712,0.5288,267.58,11.61,restaurants_cafes,False
419185c7-8416-47bf-8bbe-87a0dd7f5b7c,2024-10,2086.41,264.3,370.49,293.09,13.49,77.07,0,0,148.48,266.83,86.54,95.29,93.11,28.0,10444.13,9355.39,1088.74,0.8958,0.1042,-3768.13,0.0,restaurants_cafes,False
419185c7-8416-47bf-8bbe-87a0dd7f5b7c,2024-10,2055.82,200.39,361.21,353.64,13.9,76.65,0,0,128.36,99.26,60.45,91.83,105.9,6.44,10174.88,9321.43,853.45,0.9161,0.0839,-3498.88,-2.58,restaurants_cafes,False
419185c7-8416-47bf-8bbe-87a0dd7f5b7c,2024-11,2038.13,194.39,216.55,327.37,13.98,74.44,0,0,149.12,282.95,78.29,19.66,90.41,48.74,10155.06,9269.34,885.72,0.9128,0.0872,-3479.06,-0.19,entertainment_hobbies,False
419185c7-8416-47bf-8bbe-87a0dd7f5b7c,2024-12,2102.34,219.0,260.89,274.56,14.55,77.13,0,0,140.1,85.16,68.62,72.0,65.01,26.46,10026.85,9308.61,718.24,0.9284,0.0716,-3350.85,-1.26,restaurants_cafes,False
419185c7-8416-47bf-8bbe-87a0dd7f5b7c,2025-01,2056.25,216.23,243.65,278.7,14.74,76.52,0,0,114.36,167.69,53.71,28.26,13.11,35.44,9919.69,9263.47,656.22,0.9338,0.0662,-3243.69,-1.07,restaurants_cafes,False
419185c7-8416-47bf-8bbe-87a0dd7f5b7c,2025-02,2074.05,225.47,307.88,281.4,13.71,77.28,0,0,202.44,159.52,66.51,69.26,32.37,40.98,10171.9,9292.94,878.96,0.9136,0.0864,-3495.9,2.54,restaurants_cafes,False
419185c7-8416-47bf-8bbe-87a0dd7f5b7c,2025-03,2058.86,208.87,222.96,273.41,13.71,74.43,0,0,129.78,66.84,59.42,77.96,72.33,27.25,9906.85,9250.31,656.54,0.9337,0.0663,-3230.85,-2.61,restaurants_cafes,False
419185c7-8416-47bf-8bbe-87a0dd7f5b7c,2025-04,2126.04,212.51,224.49,244.72,13.06,79.09,0,0,227.84,144.85,113.22,103.17,156.28,53.9,10320.2,9296.45,1023.75,0.9008,0.0992,-3644.2,4.17,clothing_personal_care,False
419185c7-8416-47bf-8bbe-87a0dd7f5b7c,2025-05,2057.41,191.83,190.65,372.58,13.78,70.88,0,0,78.69,101.59,40.81,62.17,68.08,26.12,9895.62,9327.51,568.11,0.9426,0.0574,-3219.62,-4.11,groceries,False
419185c7-8416-47bf-8bbe-87a0dd7f5b7c,2025-06,2086.79,228.42,191.63,255.84,14.37,75.62,0,0,178.24,156.13,99.96,118.29,81.22,74.65,10182.19,9282.07,900.12,0.9116,0.0884,-3506.19,2.9,groceries,False
